epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1013,1.49965,3.82732,1.24436,0.01629,0.55636,0.06015,0.02867,1.43385,4.01089,1.15805,0.000292179,0.000292179,0.000292179
2,65.8547,1.56472,2.94961,1.24636,0.00762,0.37854,0.06686,0.03794,1.52276,4.00832,1.32862,0.000536256,0.000536256,0.000536256
3,94.9666,1.61435,2.49643,1.29091,0.32777,0.06594,0.10077,0.05588,1.54508,3.47439,1.32112,0.000720339,0.000720339,0.000720339
4,122.911,1.56728,2.31101,1.3001,0.44417,0.20986,0.23007,0.13587,1.60259,2.94244,1.35056,0.000639027,0.000639027,0.000639027
5,150.907,1.51846,2.07835,1.24105,0.44073,0.37469,0.37868,0.21107,1.60808,2.25196,1.36458,0.000549036,0.000549036,0.000549036
6,178.811,1.48718,1.95231,1.24356,0.53284,0.45877,0.4573,0.24524,1.59717,2.07508,1.34654,0.000459045,0.000459045,0.000459045
7,207.038,1.46117,1.89051,1.21953,0.59693,0.49182,0.50534,0.28429,1.58576,1.89847,1.30467,0.000369054,0.000369054,0.000369054
8,235.712,1.42477,1.75845,1.19729,0.67209,0.50951,0.56344,0.32353,1.56047,1.76695,1.30787,0.000279063,0.000279063,0.000279063
9,264.517,1.4033,1.66856,1.18812,0.73329,0.5345,0.59624,0.34664,1.50658,1.64555,1.27708,0.000189072,0.000189072,0.000189072
10,293.209,1.36249,1.59269,1.16293,0.72452,0.53309,0.60699,0.35229,1.47938,1.63844,1.26271,9.9081e-05,9.9081e-05,9.9081e-05
