epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2998,1.53113,3.80462,1.25454,0.01716,0.56882,0.06741,0.03613,1.54378,3.93646,1.15413,0.000292179,0.000292179,0.000292179
2,66.2664,1.60365,2.98145,1.2511,0.01448,0.59503,0.11609,0.05989,1.64059,3.61122,1.22838,0.000589286,0.000589286,0.000589286
3,92.9788,1.64315,2.42872,1.29847,0.55573,0.08695,0.17153,0.09244,1.60033,3.24577,1.25966,0.000880395,0.000880395,0.000880395
4,120.225,1.64589,2.15725,1.28931,0.3584,0.20832,0.19883,0.10102,1.67911,3.03061,1.34401,0.000882003,0.000882003,0.000882003
5,147.482,1.60228,1.94643,1.26714,0.42455,0.32899,0.32603,0.16602,1.67225,2.23699,1.34393,0.000873004,0.000873004,0.000873004
6,175.478,1.58195,1.85392,1.26271,0.46877,0.40598,0.3948,0.21082,1.67842,2.11484,1.3949,0.000864004,0.000864004,0.000864004
7,202.775,1.55618,1.79743,1.27851,0.44409,0.43502,0.41614,0.21473,1.61734,2.27469,1.38573,0.000855005,0.000855005,0.000855005
8,230.079,1.52226,1.78228,1.255,0.50381,0.47096,0.4975,0.26752,1.59294,1.82152,1.35455,0.000846006,0.000846006,0.000846006
9,257.236,1.4969,1.65654,1.23354,0.56549,0.4853,0.52569,0.28292,1.61188,1.81374,1.34979,0.000837007,0.000837007,0.000837007
10,285.509,1.46199,1.56914,1.20223,0.58562,0.5539,0.56921,0.29971,1.59808,1.76683,1.34436,0.000828008,0.000828008,0.000828008
11,314.317,1.44422,1.52729,1.20498,0.63146,0.47171,0.57269,0.31361,1.56078,1.7059,1.29749,0.000819009,0.000819009,0.000819009
12,343.337,1.45887,1.52181,1.21241,0.68777,0.48151,0.59544,0.30295,1.63221,1.8333,1.33105,0.00081001,0.00081001,0.00081001
13,371.966,1.42348,1.4793,1.18901,0.62046,0.58713,0.60884,0.32383,1.5583,1.59302,1.31365,0.000801011,0.000801011,0.000801011
14,400.056,1.43234,1.43622,1.20518,0.68496,0.5878,0.61329,0.34026,1.53914,1.6199,1.32194,0.000792012,0.000792012,0.000792012
15,427.378,1.4276,1.42546,1.19865,0.71407,0.60093,0.65115,0.35254,1.54975,1.58725,1.29726,0.000783013,0.000783013,0.000783013
16,454.468,1.40749,1.38869,1.18967,0.68507,0.53909,0.62572,0.35489,1.51972,1.54211,1.30634,0.000774013,0.000774013,0.000774013
17,481.073,1.40761,1.38275,1.18959,0.7077,0.57281,0.64385,0.36854,1.54035,1.49763,1.29425,0.000765014,0.000765014,0.000765014
18,508.123,1.42052,1.35671,1.20421,0.61285,0.59991,0.61452,0.34232,1.53662,1.50076,1.3138,0.000756015,0.000756015,0.000756015
19,535.743,1.39282,1.30298,1.18242,0.69891,0.64758,0.67598,0.38231,1.54431,1.37923,1.30814,0.000747016,0.000747016,0.000747016
20,562.73,1.34978,1.29006,1.17963,0.69551,0.65317,0.66632,0.38067,1.51782,1.4007,1.29794,0.000738017,0.000738017,0.000738017
21,589.539,1.38331,1.24334,1.17068,0.73466,0.51117,0.61006,0.32739,1.55328,1.47401,1.31457,0.000729018,0.000729018,0.000729018
